 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,1757.925,34219.319,8746.863,101,58224,105.037,30.659,105.209,30.732,148.641,81.380,7.002,47.314,47.314,1.000,1.000,1.000,1.000
2,1424.284,31028.285,12784.552,0,59417,263.538,49.490,263.659,49.590,133.777,242.247,28.199,42.582,42.582,1.000,1.000,1.000,1.001
3,1872.398,37494.873,6103.120,7852,60156,341.227,50.531,341.384,50.693,153.397,316.813,26.117,48.828,48.828,1.000,1.000,1.000,1.002
4,2237.020,36288.696,8346.528,211,61090,440.965,57.155,440.225,57.576,167.667,414.280,30.470,53.370,53.370,1.000,1.000,1.000,1.000
5,1887.763,37536.266,6075.803,9592,60293,494.051,144.875,493.705,144.895,153.992,469.542,120.366,49.017,49.017,1.000,1.000,1.000,1.001
6,953.176,29200.136,10433.567,0,56212,557.546,56.209,556.473,56.892,109.400,540.134,38.797,34.823,34.823,1.000,1.000,1.000,0.999
7,1026.137,27387.307,11727.279,0,53003,614.985,82.421,614.149,82.503,113.561,596.911,64.347,36.148,36.148,1.000,1.000,1.000,1.000
8,1276.143,33064.329,5987.023,157,55901,685.388,91.505,684.842,91.655,126.642,665.232,71.349,40.311,40.311,1.000,1.000,1.000,0.999
9,1193.870,34120.468,8316.362,131,58236,690.403,164.652,689.869,164.317,122.480,670.910,145.159,38.987,38.987,1.000,1.000,1.000,0.999
10,684.688,27834.725,10137.901,4,54941,630.977,139.292,630.284,138.648,92.752,616.215,124.530,29.524,29.524,1.000,1.000,1.000,0.999
11,1514.079,34726.202,10015.519,152,58462,641.007,220.861,640.854,220.554,137.939,619.054,198.907,43.907,43.907,1.000,1.000,1.000,1.000
12,1800.512,37293.436,7684.508,4520,64503,650.754,307.256,651.027,307.388,150.424,626.813,283.315,47.882,47.882,1.000,1.000,1.000,1.000
13,1566.946,37270.025,7394.156,1938,62596,564.927,255.495,564.405,255.546,140.317,542.595,233.162,44.664,44.664,1.000,1.000,1.000,1.000
14,1501.794,33078.966,11161.275,518,59008,572.592,176.859,572.645,176.803,137.344,550.733,155.000,43.718,43.718,1.000,1.000,1.000,1.000
15,1887.763,36526.079,8187.293,2053,61700,412.293,192.567,412.599,192.766,153.992,387.784,168.059,49.017,49.017,1.000,1.000,1.000,1.001
16,784.870,32707.223,8042.318,44,54380,442.952,261.267,442.653,260.856,99.292,427.149,245.464,31.606,31.606,1.000,1.000,1.000,1.001
17,1553.944,35417.338,9237.165,1440,59930,459.985,331.102,459.654,331.456,139.722,437.747,308.865,44.475,44.475,1.000,1.000,1.000,1.000
18,728.994,23856.700,13674.035,0,53050,504.271,281.706,502.827,281.278,95.725,489.035,266.471,30.470,30.470,1.000,1.000,1.000,1.001
19,1252.647,36707.878,8864.492,1681,62685,600.223,395.638,600.187,394.883,125.453,580.257,375.672,39.933,39.933,1.000,1.000,1.000,0.999
20,902.065,32283.330,12143.515,16,60683,577.323,330.913,577.203,329.567,106.427,560.385,313.974,33.877,33.877,1.000,1.000,1.000,1.000
21,425.548,27665.189,10344.079,0,51618,519.600,343.025,519.008,342.570,73.131,507.961,331.386,23.278,23.278,1.000,1.000,1.000,1.000
22,311.075,21896.261,11515.917,7,48943,552.531,370.846,551.530,370.130,62.429,542.595,360.910,19.872,19.872,1.000,1.000,1.000,0.996
23,2021.112,34960.416,10912.073,1184,63234,505.311,407.088,504.464,406.571,159.343,479.951,381.728,50.720,50.720,1.000,1.000,1.000,1.002
24,1047.627,35592.632,10268.247,180,60195,423.648,400.748,424.423,400.370,114.751,405.385,382.485,36.526,36.526,1.000,1.000,1.000,1.000
25,953.176,35094.455,9681.235,239,60115,360.531,371.319,360.277,370.746,109.400,343.120,353.907,34.823,34.823,1.000,1.000,1.000,0.999
26,1069.548,36314.096,9213.300,1464,60592,361.194,450.901,361.518,450.788,115.940,342.741,432.448,36.905,36.905,1.000,1.000,1.000,1.001
27,794.146,36290.691,6747.670,1915,61081,296.374,373.022,296.677,373.116,99.887,280.476,357.125,31.795,31.795,1.000,1.000,1.000,1.001
28,813.201,33590.985,9656.142,0,56469,327.601,321.923,327.203,321.401,101.076,311.514,305.836,32.173,32.173,1.000,1.000,1.000,1.000
29,658.792,30695.707,10344.930,12,54953,303.092,269.594,302.877,269.528,90.968,288.614,255.116,28.956,28.956,1.000,1.000,1.000,1.000
30,823.123,32932.125,9997.706,15,61951,352.109,239.692,351.704,239.678,101.670,335.928,223.510,32.363,32.363,1.000,1.000,1.000,1.000
31,535.974,26799.214,10602.096,34,50881,299.591,217.265,298.844,216.623,82.050,286.532,204.206,26.117,26.117,1.000,1.000,1.000,0.998
32,1594.310,37498.040,7794.088,86,59904,295.806,124.341,295.326,124.000,141.506,273.285,101.819,45.043,45.043,1.000,1.000,1.000,0.999
33,851.884,30775.797,10669.902,0,56216,226.539,121.502,226.869,122.134,103.454,210.073,105.037,32.930,32.930,1.000,1.000,1.000,1.002
34,2021.112,36913.978,10374.172,560,60861,187.363,183.388,187.053,183.276,159.343,162.002,158.028,50.720,50.720,1.000,1.000,1.000,1.002
35,1148.024,35868.897,11320.919,0,62106,248.114,242.436,247.752,241.214,120.102,228.999,223.321,38.230,38.230,1.000,1.000,1.000,1.002
36,667.066,29365.559,8980.558,26,51595,256.441,180.928,256.584,181.105,91.563,241.868,166.355,29.145,29.145,1.000,1.000,1.000,0.999
37,1069.548,31836.922,11565.965,0,57714,113.648,105.131,112.895,104.822,115.940,95.195,86.679,36.905,36.905,1.000,1.000,1.000,1.001
38,931.543,38390.106,6397.533,1569,60675,103.523,198.339,103.618,198.102,108.210,86.300,181.117,34.444,34.444,1.000,1.000,1.000,1.002
39,1193.870,36918.411,10480.889,20,61038,146.294,255.873,145.350,255.984,122.480,126.801,236.380,38.987,38.987,1.000,1.000,1.000,0.999
40,1488.720,37048.155,11466.063,80,62543,62.833,295.617,63.332,295.597,136.749,41.068,273.852,43.529,43.529,1.000,1.000,1.000,1.001
41,1830.312,33334.884,13450.699,4,63524,204.301,307.634,203.324,307.506,151.614,180.171,283.504,48.260,48.260,1.000,1.000,1.000,1.000
42,1311.782,33247.027,12819.806,13,61461,232.216,381.539,232.222,382.570,128.426,211.777,361.099,40.879,40.879,0.999,1.000,1.000,0.999
43,1325.285,36477.224,11890.384,323,62144,172.128,431.597,170.982,431.337,129.020,151.593,411.062,41.068,41.068,1.000,1.000,1.000,1.002
44,931.543,40226.523,7211.651,6186,62872,94.249,438.883,94.074,438.986,108.210,77.027,421.661,34.444,34.444,1.000,1.000,1.000,1.002
45,535.974,33894.180,11503.167,32,60905,137.210,480.708,137.432,479.861,82.050,124.151,467.650,26.117,26.117,1.000,1.000,1.000,0.998
46,1386.282,33698.654,11107.654,2482,62549,476.734,560.195,475.979,559.346,131.993,455.727,539.188,42.015,42.015,1.000,1.000,1.000,0.999
47,340.267,32043.338,7357.303,5233,55465,646.117,579.121,646.315,579.176,65.402,635.708,568.712,20.818,20.818,1.000,1.000,1.000,0.998
48,365.912,33262.832,8872.846,1032,55729,207.424,557.546,207.373,557.249,67.780,196.636,546.758,21.575,21.575,1.000,1.000,1.000,1.004
49,175.685,27037.621,10230.875,426,49094,271.676,602.494,271.481,602.548,46.970,264.200,595.018,14.951,14.951,1.000,1.000,1.000,1.006
