 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,6644.870,15396.994,3840.977,4139,29557,237.326,257.766,235.963,258.956,288.958,191.337,211.777,91.978,91.978,1.000,1.000,1.000,1.000
2,1675.974,14859.944,2170.566,8857,23633,239.029,258.333,238.200,259.229,145.073,215.940,235.244,46.178,46.178,1.000,1.000,1.000,1.001
3,5274.813,19089.242,3938.119,5221,28635,438.977,262.213,439.084,261.187,257.446,398.004,221.239,81.948,81.948,1.000,1.000,1.000,0.999
4,1514.079,22946.960,1763.059,16314,28635,440.018,261.740,439.913,261.479,137.939,418.065,239.786,43.907,43.907,1.000,1.000,1.000,1.000
5,6838.894,14321.846,3282.276,4632,25312,556.505,293.062,556.658,294.741,293.119,509.854,246.410,93.303,93.303,1.000,1.000,1.000,1.000
6,1872.398,13904.293,2387.426,7895,24109,558.303,293.724,558.703,294.894,153.397,533.889,269.310,48.828,48.828,1.000,1.000,1.000,1.002
7,10432.539,15239.291,3823.930,2864,26928,654.161,248.776,654.779,246.885,362.089,596.532,191.148,115.256,115.256,1.000,1.000,1.000,1.000
8,2971.459,16680.998,3310.711,9318,26800,655.864,249.912,655.557,247.321,193.233,625.110,219.158,61.508,61.508,1.000,1.000,1.000,1.000
9,12254.613,14739.380,3272.839,3967,26885,88.004,344.066,88.580,344.546,392.411,25.549,281.612,124.908,124.908,1.000,1.000,1.000,1.000
10,3426.915,14893.221,1851.717,10152,21677,89.045,347.378,90.549,347.241,207.502,56.020,314.353,66.050,66.050,1.000,1.000,1.000,1.001
11,5496.416,12292.618,2620.849,4392,22801,150.836,264.957,150.473,265.755,262.797,109.011,223.132,83.651,83.651,1.000,1.000,1.000,0.999
12,1288.572,11568.992,1646.023,7527,19024,151.026,262.308,150.847,263.341,127.236,130.775,242.057,40.501,40.501,1.000,1.000,1.000,0.998
13,6616.682,15015.192,3905.618,2868,25997,326.371,283.788,328.771,280.822,288.363,280.476,237.894,91.789,91.789,1.000,1.000,1.000,0.999
14,1730.704,17317.495,2748.370,9713,25024,330.818,284.261,330.758,282.878,147.452,307.350,260.794,46.935,46.935,1.000,1.000,1.000,1.002
15,3768.148,14441.900,4017.049,4121,26195,260.415,394.976,263.431,393.624,217.610,225.781,360.342,69.267,69.267,1.000,1.000,1.000,1.000
16,1311.782,13523.202,3139.191,7197,22190,259.469,396.300,261.235,395.111,128.426,239.029,375.861,40.879,40.879,0.999,1.000,1.000,0.999
17,4707.034,16525.834,4537.208,3588,26316,330.534,366.871,326.739,365.995,243.176,291.832,328.169,77.405,77.405,1.000,1.000,1.000,0.999
18,1241.579,19571.294,2470.114,9231,25717,326.465,363.938,325.467,363.945,124.858,306.593,344.066,39.744,39.744,1.000,1.000,1.000,1.000
19,6293.751,13914.625,3591.878,4769,24179,471.340,427.054,472.820,424.733,281.228,426.581,382.296,89.518,89.518,1.000,1.000,1.000,0.999
20,1579.876,15749.787,2727.749,8993,23372,471.151,430.840,471.923,429.337,140.911,448.724,408.413,44.853,44.853,1.000,1.000,1.000,0.999
21,5057.150,13331.713,2766.990,4482,22822,613.187,438.883,610.380,439.144,252.095,573.065,398.761,80.244,80.244,1.000,1.000,1.000,1.000
22,1399.069,13858.816,1715.492,7602,19250,609.496,440.302,608.663,440.587,132.588,588.394,419.200,42.204,42.204,1.000,1.000,1.000,1.001
23,12589.758,13722.615,3118.605,5052,25351,478.721,564.454,476.767,562.377,397.763,415.415,501.148,126.612,126.612,1.000,1.000,1.000,1.000
24,3626.060,13744.436,1680.764,9610,22318,479.857,562.750,479.466,561.378,213.448,445.885,528.779,67.943,67.943,1.000,1.000,1.000,1.002
25,7317.380,14223.408,2829.841,5415,23485,338.388,547.326,339.939,545.636,303.227,290.128,499.066,96.520,96.520,1.000,1.000,1.000,1.000
26,2316.141,13961.076,2411.623,8666,22875,337.915,547.421,339.689,546.719,170.640,310.757,520.263,54.316,54.316,1.000,1.000,1.000,1.001
27,9205.394,13353.585,2342.102,5047,20195,236.758,512.692,235.050,511.577,340.090,182.631,458.565,108.254,108.254,1.000,1.000,1.000,1.000
28,2704.081,13253.585,1372.471,8809,18390,238.462,511.557,238.073,510.509,184.314,209.127,482.222,58.669,58.669,1.000,1.000,1.000,0.999
29,11704.062,14925.984,3218.570,4323,25796,129.545,469.069,129.546,467.493,383.493,68.510,408.034,122.070,122.070,1.000,1.000,1.000,1.000
